Deleted,Campaign ID,Campaign Type,Advertiser ID,Created At,Updated At,Disabled,Account ID,Filter Type
,136679,NATIVE,25715,2021-08-30T12:29:34.346337+04:30,2021-08-30T12:29:34.346355+04:30,false,BtMlqxQZ,KEYWORD
,136677,NATIVE,25715,2021-08-30T12:28:30.420234+04:30,2021-08-30T12:28:30.420254+04:30,false,BtMlqxQZ,KEYWORD
,136670,BANNER,31925,2021-08-30T12:09:01.049765+04:30,2021-08-30T12:09:01.049783+04:30,false,TwFr6dUu,KEYWORD
,136665,NATIVE,43091,2021-08-30T12:04:02.138429+04:30,2021-08-30T12:04:02.138453+04:30,false,nd31wMaJ,KEYWORD
,136658,NATIVE,3651,2021-08-30T11:51:25.26305+04:30,2021-08-30T12:39:54.490889+04:30,false,HcQeG5PH,KEYWORD
,136649,NATIVE,23182,2021-08-30T11:35:52.222507+04:30,2021-08-30T11:35:52.222524+04:30,false,cqo1xG06,KEYWORD
,136605,BANNER,33586,2021-08-30T10:11:12.456273+04:30,2021-08-30T10:11:12.456292+04:30,false,c8SQoQdG,KEYWORD
,136585,BANNER,28927,2021-08-30T03:15:11.21499+04:30,2021-08-30T03:15:11.215014+04:30,false,RpdI1UhD,KEYWORD
,136584,NATIVE,7862,2021-08-30T03:13:13.659448+04:30,2021-08-30T03:13:13.659465+04:30,false,4LIvvoV1,KEYWORD
,136574,NATIVE,26020,2021-08-30T01:06:32.9835+04:30,2021-08-30T01:06:32.983521+04:30,false,70RnPHrs,KEYWORD
,136567,BANNER,12385,2021-08-30T00:20:52.669824+04:30,2021-08-30T00:20:52.669843+04:30,false,eR4PUzjK,KEYWORD
,136566,BANNER,19960,2021-08-30T00:19:09.763895+04:30,2021-08-30T00:19:09.763929+04:30,false,CyzkoJZr,KEYWORD
,136556,NATIVE,26020,2021-08-29T22:15:41.610089+04:30,2021-08-29T22:17:15.638875+04:30,false,70RnPHrs,KEYWORD
,136554,NATIVE,26020,2021-08-29T21:41:38.850245+04:30,2021-08-29T21:41:38.850265+04:30,false,70RnPHrs,KEYWORD
,136552,NATIVE,26020,2021-08-29T21:30:19.088295+04:30,2021-08-29T21:30:19.088321+04:30,false,70RnPHrs,KEYWORD
,136551,NATIVE,26020,2021-08-29T21:20:47.368462+04:30,2021-08-29T21:20:47.368481+04:30,false,70RnPHrs,KEYWORD
,136548,NATIVE,26020,2021-08-29T21:11:45.85529+04:30,2021-08-29T21:11:45.85531+04:30,false,70RnPHrs,KEYWORD
,136537,BANNER,28435,2021-08-29T20:01:01.363311+04:30,2021-08-29T20:01:01.363332+04:30,false,MbaNfMS9,KEYWORD
,136535,BANNER,28435,2021-08-29T19:57:59.308918+04:30,2021-08-29T20:02:06.610955+04:30,false,MbaNfMS9,KEYWORD
,136534,BANNER,26973,2021-08-29T19:38:06.608412+04:30,2021-08-29T19:38:06.60844+04:30,false,lWsyd8v6,KEYWORD
,136531,NATIVE,28435,2021-08-29T19:30:30.990223+04:30,2021-08-29T19:33:32.139283+04:30,false,MbaNfMS9,KEYWORD
,136530,NATIVE,10030,2021-08-29T19:30:21.943308+04:30,2021-08-29T19:30:21.943335+04:30,false,B3h0yosb,KEYWORD
,136529,NATIVE,28435,2021-08-29T19:27:42.988297+04:30,2021-08-29T19:33:14.501669+04:30,false,MbaNfMS9,KEYWORD
,136526,NATIVE,20099,2021-08-29T19:13:56.861827+04:30,2021-08-29T23:43:18.502795+04:30,false,JS0OX860,KEYWORD
,136522,BANNER,16723,2021-08-29T18:23:17.82297+04:30,2021-08-30T12:06:50.265299+04:30,false,jjfAvOOW,KEYWORD
,136521,NATIVE,23433,2021-08-29T18:08:32.860788+04:30,2021-08-29T18:08:32.860815+04:30,false,XVW9hgdp,KEYWORD
,136517,NATIVE,26020,2021-08-29T17:58:44.377045+04:30,2021-08-29T19:59:44.098148+04:30,false,70RnPHrs,KEYWORD
,136513,NATIVE,23433,2021-08-29T17:53:21.689901+04:30,2021-08-29T18:28:45.133921+04:30,false,XVW9hgdp,KEYWORD
,136503,NATIVE,42853,2021-08-29T17:38:39.395436+04:30,2021-08-29T17:38:39.395455+04:30,false,OHCP7FLw,KEYWORD
,136499,BANNER,43050,2021-08-29T17:19:07.133603+04:30,2021-08-29T17:19:07.13363+04:30,false,M1SVDEfI,KEYWORD
,136496,BANNER,41953,2021-08-29T17:14:52.648635+04:30,2021-08-29T17:14:52.648664+04:30,false,m574qH90,KEYWORD
,136491,BANNER,13184,2021-08-29T17:01:12.55455+04:30,2021-08-29T17:01:12.55457+04:30,false,SOoa5ZCg,KEYWORD
,136489,BANNER,4593,2021-08-29T16:52:01.968791+04:30,2021-08-29T16:52:01.968811+04:30,false,fq6bMRHQ,KEYWORD
,136487,BANNER,34720,2021-08-29T16:36:25.991232+04:30,2021-08-29T16:36:25.991263+04:30,false,KGJ2i5HZ,KEYWORD
,136475,NATIVE,41974,2021-08-29T16:08:47.973395+04:30,2021-08-29T16:08:47.97342+04:30,false,oFvQIgEP,KEYWORD
,136472,BANNER,41974,2021-08-29T15:54:53.039898+04:30,2021-08-29T15:54:53.039926+04:30,false,oFvQIgEP,KEYWORD
,136465,NATIVE,5534,2021-08-29T15:47:40.099011+04:30,2021-08-29T15:47:40.09905+04:30,false,oEE7sbhB,KEYWORD
,136427,NATIVE,16999,2021-08-29T14:04:15.395187+04:30,2021-08-29T14:04:15.395211+04:30,false,cjK3Mig0,KEYWORD
,136422,NATIVE,16999,2021-08-29T13:46:21.383644+04:30,2021-08-29T13:46:21.383664+04:30,false,cjK3Mig0,KEYWORD
,136389,BANNER,8886,2021-08-29T12:44:28.623441+04:30,2021-08-29T12:44:28.623462+04:30,false,9zAh9tUP,KEYWORD
,136377,NATIVE,17722,2021-08-29T11:59:25.671754+04:30,2021-08-29T11:59:25.671776+04:30,false,K1prIAwl,KEYWORD
,136374,NATIVE,7734,2021-08-29T11:42:15.240546+04:30,2021-08-29T11:42:15.240568+04:30,false,cDjHdWyW,KEYWORD
,136367,NATIVE,31550,2021-08-29T11:20:11.028626+04:30,2021-08-29T11:20:11.028657+04:30,false,l8LEn9JR,KEYWORD
,136342,BANNER,38259,2021-08-29T10:46:27.188599+04:30,2021-08-29T10:46:27.188616+04:30,false,8SE3I1kr,KEYWORD
,136337,NATIVE,42722,2021-08-29T10:31:39.454257+04:30,2021-08-29T10:51:25.21076+04:30,false,8sMhipnK,KEYWORD
