ID,Campaign ID,Keyword ID
58270,55707,4640
12075,54487,789
58271,55707,4737
58272,55707,4802
30407,55923,5089
6,50013,6
7,50013,7
8,50013,8
9,50013,9
10,50013,10
11,50201,11
12,50312,12
13,50312,13
14,50312,14
15,50312,15
16,50312,16
17,50312,17
18,50312,18
19,50312,19
20,50312,20
21,50312,21
22,50312,22
23,50312,23
24,50312,24
25,50312,25
26,50312,26
27,50312,27
58273,55707,4738
30408,55923,5090
30409,55923,5091
118508,62881,13508
118509,62881,13509
120391,63046,13679
120392,63046,13680
120393,63046,13681
120394,63046,13682
120395,63046,13683
1548,51376,134
1549,51376,135
1550,51376,147
289,51816,158
290,51816,159
291,51816,160
292,51816,161
45,50438,44
293,51816,162
294,51816,163
295,51816,164
296,51816,165
297,51816,166
298,51816,167
299,51816,168
300,51816,169
301,51816,170
302,51816,171
303,51816,172
304,51816,173
305,51816,174
306,51816,175
307,51816,176
308,51816,177
309,51816,178
310,51816,179
311,51816,180
312,51816,181
120396,63046,13684
589124,54193,128
589125,54193,7
589126,54193,1303
136392,62492,8323
136393,62492,7305
136394,62492,13085
136395,62492,13086
136396,62492,13087
136397,62492,933
136398,62492,807
136399,62492,2104
1551,51376,148
1552,51376,149
80,50325,32
81,50325,33
82,50325,34
83,50325,35
84,50325,37
85,50325,38
86,50325,39
87,50325,40
88,50325,41
89,50325,42
90,50325,43
91,50325,13
92,50325,28
93,50325,29
94,50325,30
416776,85903,643
416777,85903,645
416778,85903,647
416779,85903,8588
416780,85903,13581
100,50813,84
101,50813,85
102,50826,44
103,50777,44
104,50784,44
105,50841,44
106,50842,44
107,50846,86
108,50846,87
109,50913,96
110,50913,88
111,50913,89
112,50913,90
113,50913,91
114,50913,92
115,50913,93
116,50913,94
117,50913,95
118,50791,97
119,50791,98
120,50791,99
121,50791,100
122,50791,101
123,50791,102
124,50791,103
125,50966,104
126,50966,105
127,50966,106
128,50966,107
129,50966,108
130,50966,109
131,50966,110
132,50966,111
133,50966,112
134,50966,113
135,50966,114
136,50966,115
137,50966,116
138,50966,117
139,50966,118
140,50966,119
141,50966,80
142,50966,121
143,50966,120
144,50966,44
1553,51376,150
1554,51376,151
1555,51376,152
1556,51376,153
1557,51376,287
1558,51376,288
1559,51376,291
1560,51376,292
1561,51376,294
1562,51376,435
1563,51376,436
1564,51376,437
1565,51376,438
1566,51376,439
1567,51376,440
1568,51376,441
1569,51376,80
1570,51376,104
58274,55707,4736
58275,55707,4741
58276,55707,4803
58277,55707,250
58278,55707,3376
58279,55707,4724
58280,55707,4725
58281,55707,4726
58282,55707,4727
58283,55707,4728
58284,55707,4730
268,51543,131
269,51543,7
270,51543,110
271,51543,80
272,51543,116
273,51543,154
274,51543,155
275,51543,156
276,51543,157
416781,85903,20364
416782,85903,11411
416783,85903,282
416784,85903,13645
416785,85903,34993
416786,85903,34994
351,51915,196
352,51915,197
353,51915,198
354,51915,199
355,51915,200
356,51915,201
357,51915,202
358,51915,203
359,51915,204
360,51915,205
361,51935,128
362,51935,206
363,51935,207
364,51935,208
365,51935,209
366,51935,210
367,51935,211
368,51935,212
369,51935,213
370,51935,122
371,51935,124
416787,85903,34995
416788,85903,34996
136400,62492,13372
136401,62492,15037
136402,62492,13373
136403,62492,714
12076,54487,1046
12077,54487,1050
12078,54487,1436
12079,54487,1058
136404,62492,717
136405,62492,4689
136406,62492,2387
136407,62492,2388
136408,62492,2389
136409,62492,2390
136410,62492,2391
662,52530,80
136411,62492,2392
136412,62492,2395
12080,54487,810
12081,54487,2346
12082,54487,1707
12083,54487,811
12084,54487,2476
397,51938,128
398,51938,230
399,51938,207
400,51938,210
401,51938,211
402,51938,212
403,51938,213
404,51938,122
405,51938,123
12085,54487,1714
12086,54487,224
12087,54487,1761
12088,54487,1764
12089,54487,2670
12090,54487,2671
12091,54487,2672
12092,54487,2673
12093,54487,2674
12094,54487,2675
12095,54487,2676
12096,54487,2677
12097,54487,2678
12098,54487,2679
12099,54487,2680
12100,54487,2681
136413,62492,1245
