ID,Keyword
1,قرنطینه
2,فرهاد مجیدی
3,ویروس کرونای
4,پرسپولیس
5,ویروس کرونا
6,دادوستد
7,معاملات
8,کم‌نوسان
9,سقف‌شکنی‌های
10,داد‌و‌ستد
11,افشین
12,ادکلن
13,پوست
14,سفیر
15,عطر
16,کرم پودر
17,میثم عطر
18,لاک
19,رژ
20,کانسیلر
21,مدادچشم
22,روبان
23,آرایش
24,مو تن رو
25,خانومی
26,عطر افشان
27,کامان
28,تیرگی زیر بغل
29,جوش‌های سرسیاه
30,لک
31,پوست صاف
32,جوش و آکنه
33,چین و چروک
34,لک‌های تیره
35,مراقبت پوست
36,تیرگی
37,موخوره
38,لوازم آرایش
39,زیبایی
40,پیشگیری از کرونا
41,پوست شفاف
42,لوازم بهداشتی
43,لک‌های پوستی
44,سهام عدالت
45,"OrderedDict([('keyword', 'پوست')])"
46,"OrderedDict([('keyword', 'تیرگی زیر بغل')])"
47,"OrderedDict([('keyword', 'جوش\u200cهای سرسیاه')])"
48,"OrderedDict([('keyword', 'لک')])"
49,"OrderedDict([('keyword', 'پوست صاف')])"
50,"OrderedDict([('keyword', 'جوش و آکنه')])"
51,"OrderedDict([('keyword', 'چین و چروک')])"
52,"OrderedDict([('keyword', 'لک\u200cهای تیره')])"
53,"OrderedDict([('keyword', 'مراقبت پوست')])"
54,"OrderedDict([('keyword', 'تیرگی')])"
55,"OrderedDict([('keyword', 'موخوره')])"
56,"OrderedDict([('keyword', 'لوازم آرایش')])"
57,"OrderedDict([('keyword', 'زیبایی')])"
58,"OrderedDict([('keyword', 'پیشگیری از کرونا')])"
59,"OrderedDict([('keyword', 'پوست شفاف')])"
60,"OrderedDict([('keyword', 'لوازم بهداشتی')])"
61,"OrderedDict([('keyword', 'لک\u200cهای پوستی')])"
62,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'پوست')])"")])"
63,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'تیرگی زیر بغل')])"")])"
64,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'جوش\\u200cهای سرسیاه')])"")])"
65,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'لک')])"")])"
66,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'پوست صاف')])"")])"
67,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'جوش و آکنه')])"")])"
68,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'چین و چروک')])"")])"
69,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'لک\\u200cهای تیره')])"")])"
70,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'مراقبت پوست')])"")])"
71,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'تیرگی')])"")])"
72,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'موخوره')])"")])"
73,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'لوازم آرایش')])"")])"
74,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'زیبایی')])"")])"
75,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'پیشگیری از کرونا')])"")])"
76,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'پوست شفاف')])"")])"
77,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'لوازم بهداشتی')])"")])"
78,"OrderedDict([('keyword', ""OrderedDict([('keyword', 'لک\\u200cهای پوستی')])"")])"
79,پیاز
80,بورس
81,هویج
82,قورمه
83,سبزی
84,لباس
85,پیراهن
86,فلسفی
87,کتاب
88,فواید عسل
89,خواص عسل
90,گرده گل
91,عسل
92,ژل رویال
93,عسل خالص
94,عسل طبیعی
95,بهترین عسل
96,انگبین
97,کاشت مو
98,طاسی
99,ریزش مو
100,روش های کاشت مو
101,تقویت مو
102,کچلی
103,قیمت کاشت مو
104,مالی
105,ETF
106,سود
107,دلار
108,سکه
109,اقتصاد
110,سهام
111,آموزش بورس
112,ثروت
113,درآمد
114,طلا
115,بانک
116,شاخص
117,کسب درآمد
118,تورم
119,یادگیری بورس
120,سرمایه گذاری
121,ارز
122,بیت کوین
123,رمزارز
124,ارز دیجیتال
125,بازاربورس
126,سود بانکی
127,عرضه اولیه
26361,EPC
128,ارزدیجیتال
129,سرمایه گزاری
130,سودبانکی
131,کدال
132,پخش مویرگی زرین
133,پخش مویرگی ورانگر
134,نرم افزار مالی
135,پخش مویرگی
136,پخش مویرگی پارمیس
137,پخش مویرگی مبنا
138,پخش گرم
139,پخش سرد
140,نرم افزار حسابداری شرکت کاله
141,پخش مویرگی همکاران سیستم
142,پخش مویرگی شایگان سیستم
143,برنامه ریزی پخش مویرگی
144,پخش مویرگی عقاب
145,نرم افزار حسابداری
146,پخش مویرگی ویژن
147,همکاران سیستم
148,Distribution
149,حسابدار
150,حسابداری
151,فاینانس
152,امور مالی
153,پخش و توزیع
154,پرتفو
155,فرابورس
156,بازارپایه
157,تابلوخوان
158,گیفت کارت ایکس باکس
159,گیفت کارت اپل
160,بازی
161,گیفت کارت پلی استیشن
162,نت فیلیکس
163,ایکس باکس
164,گیفت کارت استیم
165,گیفت کارت آمازون
166,اسپاتیفای
167,استیشن
168,Game
169,گیفت کارت نتفلیکس
170,اپل
171,گیفت کارت
172,آیفون11
173,Fifa
174,گیم
175,گیفت کارت گوگل
176,گوگل پلی
177,گیفت کارت اسپاتیفای
178,PS
179,پلی‌استیشن
180,XBOX
181,استیم
182,آموزش حسابداری
183,برنامه حسابداری
184,سیستم حسابداری
185,حسابداری آسان
186,دانلود نرم افزار حسابداری
187,ارزانترین نرم افزار حسابداری
188,مدیریت مالی
189,حسابداری ساده
190,اپلیکیشن حسابداری
191,حسابداری شرکت
192,حسابرسی
193,حسابداری تحت وب
194,صندوق فروشگاهی
195,سیستم جامع حسابداری
196,امتحانات
197,سازمان سنجش
198,رشته تحصیلی
199,کنکور
200,سنجش
201,رتبه کنکور
202,سهمیه
203,کارشناسی
204,آزمون
205,دانشگاه
206,تریدینگ
207,ماینر
208,بلاکچین
209,رمز ارز
210,فارکس
211,اکسچنج
212,کریپتو
213,ماینینگ
214,زندگی سالم
215,وعده
216,سلامت
217,چاق
218,رژیم
219,تغذیه
220,سوزاندن
221,تناسب اندام
222,خوراک
223,لاغری
224,سالم
225,شکم
226,تغذیه سالم
227,صبحانه
228,رژیم غذایی
229,سبک زندگی
230,بلاکچبن
231,اشاعه
232,مطلقه
233,آرایشگاه
234,حجاب
235,مسلمان
236,لاکچری+
237,تب سنج
238,تب سنج دیجیتال
239,بیمارستان
240,سینما
241,مسجد
242,درمانگاه
243,ماسک
244,کرونا
245,فرودگاه
246,کووید
247,فروشگاه
248,باشگاه ورزشی
249,ویروس
250,مدرسه
251,باشگاه
252,مدارس
253,سازمان
254,بیمه
255,درمان
256,آنفولانزا
257,پزشک
258,دکتر
259,کوید
260,کلینیک دندانپزشکی
261,ایمپلنت دندان
262,زیبایی دندان
263,دندانپزشکی تخصصی کودکان
264,مطب
265,دارو
266,کلینیک
267,کبد چرب
268,ویزیت آنلاین
269,دکترتو
270,طب سنتی
271,پزشکت
272,ویزیت
273,بیماری
274,داروخانه
275,درمان خانگی
276,پزشکی
277,بهداشت
278,متخصص
279,پیشگیری
280,شیوع
281,استارت‌آپ
282,هوشمند
283,دیجیتال
284,موبایل
285,اقتصادی
286,رشد
287,دولت
288,واردات
289,ارزی
290,پول
291,عرضه
292,صادرات
293,نسبی
294,بازار
295,نوسان
296,بنزین
297,Photoshop
298,فونت
299,لوگو
300,فتوشاپ
301,افترافکت
302,طراحی لوگو
303,دارایی
304,سپرده‌گذاری
305,ووچر پرفکت
306,درآمد دلاری
307,سودآور
308,اتریوم
309,صرافی دیجیتال
310,ریپل
311,صرافی آنلاین
312,صرافی
313,سرمایه‌گذاری
314,وب مانی
315,پس‌انداز
316,سرمایه
317,دوج کوین
318,ووچر
319,تتر
320,ساعت
321,استایل
322,اکسسوری
323,کوین
324,سپرده گذاری
325,پروتز سینه
326,جراحی زیبایی سینه
327,ماموپلاستی
328,برنزه
329,ضد آفتاب
330,مرطوب‌کننده
331,ضد تعریق
332,شوینده
333,سرم
334,ضدتعریق
335,ضدآفتاب
336,دئودورانت
337,صابون
338,ضدچروک
339,شامپو تقویت کننده
340,شامپو
341,پرستار
342,ابتلا
343,مبتلا
344,اورژانس
345,واکسن
346,کروناویروس
347,متخصصین
348,معاینه
349,آزمایشگاه
350,آنفلوآنزا
351,سرماخوردگی
352,صندل چرم زنانه
353,صندل زنانه
354,کفش اسپورت
355,کیف چرم
356,کیف زنانه
357,کیف اداری
358,ست چرم
359,کفش چرم
360,کیف چرم زنانه
361,کوله لب تاپ
362,کوله سفری
363,کوله کوه نوردی
364,کوله پشتی
365,ساک ورزشی
366,لباس تابستانی
367,پیراهن تابستانی
368,مانتو تابستانی
369,لباس خواب
370,لباس راحتی
371,زنانه
372,گلدار
373,مانتو
374,چادر
375,سارافون
376,شومیز
377,مد
378,حریر
379,دخترانه
380,دامن
381,روسری
382,شال
383,جوان کننده
384,محلول
385,روغن آفتاب
386,ضدریزش
387,مو
388,سوختگی
389,کرم
390,ترمیم
391,دورچشم
392,ضد جوش
393,فوم شستشو
394,مرطوب کننده
395,ضد ریزش
396,نرم کننده
397,گیاهی
398,مام
399,خوشبوکننده
400,ژل
401,تقویت کننده
402,ترمیم کننده
403,روشن کننده
404,لوسیون
405,ضدجوش
406,لینن‌
407,بلوز
408,کیف
409,آویز
410,سرهمی
411,دستمال
412,گوشواره
413,دستبند
414,گردنبند
415,کادو
416,کت
417,پارچه
418,کفش
419,مینیمال
420,سارافان
421,جوراب
422,تاپ
423,شلوارک
424,پالتو
